City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,71.02,moderate rain,-23.1203,-134.9692,People ThankYou
4,Najran,SA,79.43,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
5,Hithadhoo,MV,81.95,broken clouds,-0.6,73.0833,Scoop Guest House
6,Natchez,US,75.42,moderate rain,31.5604,-91.4032,Hampton Inn & Suites Natchez
10,Ribeira Grande,PT,68.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
11,Chateaubelair,VC,78.19,overcast clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
13,Georgetown,MY,76.93,moderate rain,5.4112,100.3354,Cititel Penang
16,Norman Wells,CA,74.19,light rain,65.282,-126.8329,Heritage Hotel
18,Southbridge,US,79.56,scattered clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
19,Balaipungut,ID,71.65,overcast clouds,1.05,101.2833,
20,Cape Town,ZA,65.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
21,Vaini,TO,77.38,light rain,-21.2,-175.2,Keleti Beach Resort
24,Vila Velha,BR,70.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
25,Arraial Do Cabo,BR,69.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
27,Catuday,PH,76.53,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
28,Jalgaon,IN,82.78,overcast clouds,21.0167,75.5667,Hotel Plaza
30,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
31,Torbay,CA,70.57,scattered clouds,47.6666,-52.7314,Gallows Cove
34,Lorengau,PG,84.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
35,Victoria,HK,82.33,heavy intensity rain,22.2855,114.1577,Mini Central
37,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Naze,JP,79.72,broken clouds,28.3667,129.4833,Shishime Hotel
49,Jamestown,US,70.52,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
53,Inirida,CO,74.86,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
54,San Cristobal,VE,68.18,moderate rain,7.7669,-72.225,Pirineos
57,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Daru,PG,80.58,broken clouds,-9.0763,143.2092,Daru Lodge
