City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Rikitea,PF,-23.1203,-134.9692,71.02,80,80,13.27,moderate rain,2022-06-29 23:01:38
1,Deputatskiy,RU,69.3,139.9,53.46,39,93,4.23,overcast clouds,2022-06-29 23:01:39
2,Teguldet,RU,57.3064,88.1667,59.77,89,100,7.25,overcast clouds,2022-06-29 23:01:39
3,Port Alfred,ZA,-33.5906,26.891,62.4,38,11,7.27,few clouds,2022-06-29 23:01:39
4,Najran,SA,17.4924,44.1277,79.43,23,61,4.38,broken clouds,2022-06-29 23:01:40
5,Hithadhoo,MV,-0.6,73.0833,81.95,77,62,8.41,broken clouds,2022-06-29 23:01:40
6,Natchez,US,31.5604,-91.4032,75.42,94,40,8.05,moderate rain,2022-06-29 23:01:41
7,Port Elizabeth,ZA,-33.918,25.5701,60.96,44,57,6.08,broken clouds,2022-06-29 23:00:18
8,Mataura,NZ,-46.1927,168.8643,50.49,72,92,10.2,overcast clouds,2022-06-29 23:01:41
9,Hamilton,US,39.1834,-84.5333,86.43,36,0,3.0,clear sky,2022-06-29 22:59:54
10,Ribeira Grande,PT,38.5167,-28.7,68.4,88,75,3.44,broken clouds,2022-06-29 23:01:42
11,Chateaubelair,VC,13.2833,-61.25,78.19,84,100,17.4,overcast clouds,2022-06-29 23:01:43
12,Lavrentiya,RU,65.5833,-171.0,49.23,76,93,13.98,overcast clouds,2022-06-29 23:01:43
13,Georgetown,MY,5.4112,100.3354,76.93,94,20,0.0,moderate rain,2022-06-29 23:00:18
14,Iqaluit,CA,63.7506,-68.5145,50.7,53,65,4.0,broken clouds,2022-06-29 23:00:18
15,Hobart,AU,-42.8794,147.3294,46.26,80,40,8.05,scattered clouds,2022-06-29 22:59:58
16,Norman Wells,CA,65.282,-126.8329,74.19,49,92,12.91,light rain,2022-06-29 23:01:44
17,Aklavik,CA,68.2191,-135.0107,63.7,55,46,13.42,scattered clouds,2022-06-29 23:01:45
18,Southbridge,US,42.0751,-72.0334,79.56,60,38,1.01,scattered clouds,2022-06-29 23:01:47
19,Balaipungut,ID,1.05,101.2833,71.65,94,99,3.53,overcast clouds,2022-06-29 23:01:47
20,Cape Town,ZA,-33.9258,18.4232,65.12,56,4,4.83,clear sky,2022-06-29 23:00:39
21,Vaini,TO,-21.2,-175.2,77.38,85,100,6.22,light rain,2022-06-29 23:01:48
22,Yulara,AU,-25.2406,130.9889,47.48,78,0,13.33,clear sky,2022-06-29 23:01:49
23,Ushuaia,AR,-54.8,-68.3,33.46,75,75,5.75,light snow,2022-06-29 22:57:33
24,Vila Velha,BR,-20.3297,-40.2925,70.95,79,0,4.0,clear sky,2022-06-29 23:01:49
25,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,88,0,8.05,clear sky,2022-06-29 22:56:52
26,Stornoway,GB,58.2093,-6.3865,53.56,93,40,5.75,scattered clouds,2022-06-29 23:01:50
27,Catuday,PH,16.2923,119.8062,76.53,89,100,18.66,overcast clouds,2022-06-29 23:01:50
28,Jalgaon,IN,21.0167,75.5667,82.78,71,100,10.54,overcast clouds,2022-06-29 23:01:51
29,Upernavik,GL,72.7868,-56.1549,35.2,88,99,7.76,overcast clouds,2022-06-29 23:01:51
30,Avarua,CK,-21.2078,-159.775,80.65,69,20,8.05,few clouds,2022-06-29 23:01:51
31,Torbay,CA,47.6666,-52.7314,70.57,81,40,12.66,scattered clouds,2022-06-29 22:59:57
32,Busselton,AU,-33.65,115.3333,48.13,84,0,9.93,clear sky,2022-06-29 23:01:52
33,Tuktoyaktuk,CA,69.4541,-133.0374,40.17,89,94,11.86,overcast clouds,2022-06-29 23:01:53
