City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2022-06-29 20:25:56,41.3712,-73.414,85.73,45,20,10.36
1,Ayan,RU,2022-06-29 20:25:56,56.45,138.1667,51.69,94,67,6.08
2,Saint-Pierre,RE,2022-06-29 20:25:57,-21.3393,55.4781,65.88,72,75,8.05
3,Puri,IN,2022-06-29 20:25:57,19.8,85.85,82.92,81,100,19.13
4,Husavik,IS,2022-06-29 20:25:58,66.0449,-17.3389,51.46,85,90,4.43
5,Kars,TR,2022-06-29 20:25:59,40.602,43.095,57.65,88,0,12.66
6,Iqaluit,CA,2022-06-29 20:25:59,63.7506,-68.5145,58.73,38,40,12.66
7,Chuy,UY,2022-06-29 20:26:00,-33.6971,-53.4616,55.85,67,13,5.99
8,Mangalia,RO,2022-06-29 20:26:00,43.8,28.5833,69.35,75,0,1.99
9,New Norfolk,AU,2022-06-29 20:26:01,-42.7826,147.0587,47.7,82,60,1.99
10,Hobart,AU,2022-06-29 20:23:10,-42.8794,147.3294,48.06,88,75,9.22
11,Aksu,CN,2022-06-29 20:26:01,41.1231,80.2644,82.22,26,1,6.82
12,Cayenne,GF,2022-06-29 20:26:02,4.9333,-52.3333,75.24,1,40,4.61
13,Kihei,US,2022-06-29 20:25:19,20.785,-156.4656,82.42,69,20,21.85
14,Cornwall,CA,2022-06-29 20:26:03,45.0181,-74.7281,69.89,88,100,3.44
15,Rikitea,PF,2022-06-29 20:26:04,-23.1203,-134.9692,72.25,77,68,13.89
16,Mataura,NZ,2022-06-29 20:26:05,-46.1927,168.8643,44.47,76,100,6.6
17,Chokurdakh,RU,2022-06-29 20:26:07,70.6333,147.9167,51.93,51,11,18.14
18,Asau,RO,2022-06-29 20:26:08,46.4333,26.4,74.95,78,49,4.61
19,Cockburn Town,TC,2022-06-29 20:26:08,21.4612,-71.1419,82.71,75,15,19.93
20,Mar Del Plata,AR,2022-06-29 20:26:09,-38.0023,-57.5575,64.94,46,0,11.5
21,Cherskiy,RU,2022-06-29 20:26:09,68.75,161.3,44.98,77,94,10.87
22,Ushuaia,AR,2022-06-29 20:21:32,-54.8,-68.3,37.02,64,40,5.75
23,Hithadhoo,MV,2022-06-29 20:26:10,-0.6,73.0833,83.32,75,75,11.03
24,Paoua,CF,2022-06-29 20:26:11,7.2427,16.4406,69.89,91,50,3.27
25,Sulangan,PH,2022-06-29 20:26:12,11.1373,123.7228,83.25,75,100,9.44
26,Jamestown,US,2022-06-29 20:26:13,42.097,-79.2353,78.53,55,40,9.22
27,Esperance,AU,2022-06-29 20:26:14,-33.8667,121.9,55.63,73,79,10.04
28,Constitucion,CL,2022-06-29 20:26:14,-35.3333,-72.4167,55.58,89,100,9.69
29,Dromolaxia,CY,2022-06-29 20:26:15,34.8761,33.586,81.99,50,0,11.5
30,Kapaa,US,2022-06-29 20:26:16,22.0752,-159.319,82.38,72,100,14.97
31,Ilulissat,GL,2022-06-29 20:26:17,69.2167,-51.1,46.42,66,75,10.36
32,East London,ZA,2022-06-29 20:26:18,-33.0153,27.9116,63.43,39,0,5.97
33,Castro,BR,2022-06-29 20:21:43,-24.7911,-50.0119,59.25,68,0,6.13
34,Sonoita,MX,2022-06-29 20:26:20,31.85,-112.8333,99.95,27,27,12.55
35,Albany,US,2022-06-29 20:26:20,42.6001,-73.9662,82.63,41,75,3.0
36,Butaritari,KI,2022-06-29 20:26:21,3.0707,172.7902,81.72,78,100,15.93
37,Mogadishu,SO,2022-06-29 20:23:51,2.0371,45.3438,77.27,75,40,20.67
38,Caconda,AO,2022-06-29 20:26:21,-13.7333,15.0667,60.62,39,96,0.96
39,Vaini,TO,2022-06-29 20:26:22,-21.2,-175.2,77.16,94,75,12.66
40,Nanortalik,GL,2022-06-29 20:26:22,60.1432,-45.2371,40.24,96,100,4.27
41,Puga,MX,2022-06-29 20:26:23,21.5833,-104.8167,86.07,54,40,9.22
42,Saint Anthony,US,2022-06-29 20:26:24,45.0205,-93.218,90.66,42,0,19.57
43,Bluff,NZ,2022-06-29 20:26:26,-46.6,168.3333,44.8,80,100,17.6
